userName,score,at,content
Rahmadtika 0910,5,2025-10-03 09:37:55,"min, saya kan baru download ff semoga dibagi akun sama min Garena amin ya Allah yang ada SG mamba aja pun saya bersyukur bismillah yaallah Semoga dibagi amin"
Fandi Ff,5,2025-10-03 09:37:31,ff MAX
wage wage,5,2025-10-03 09:29:16,game ini sangat seru ku kasih bintang lima😁😁😁😁
Dani Anugrah,5,2025-10-03 09:23:59,"seru,tapi skin S1 keluarin lagi doang min mau nyepin nih dan satu lagi jangot bnld keluarin lagi plisss minzzz"
Eruauw,5,2025-10-03 09:22:23,bagus banget ada bug nya
Raja Debata,1,2025-10-03 09:22:09,"maksa top up mentangg"" g pernah top up level Prime di turunin gw yg hbs berjuta"" di turunin level primee gw mutusin buat pensi game burik"
Suparto Suparto,5,2025-10-03 09:20:41,login ke lobinya lama udah nunggu lama2 mohon di per baiki
Oyama Mahiro,1,2025-10-03 09:17:49,Tangkap Anies🗿😹
yuni indra,4,2025-10-03 09:10:27,gamenya bagus cuman saya gabisa login gatau knpa
Shany Aprlll,4,2025-10-03 09:06:10,bagus ilov ff
Muhamad Indra Bagus Sanjaya,5,2025-10-03 09:02:24,mantap
Reza Aditiya,5,2025-10-03 09:01:28,"gw sengaja ngasi bintang 5karna , gw pdhl bru login ke ff malah langsung kena band, padahal ga pke apa² , + gw coba 3akun ke band smua, hade game kikir, mending kalian ati"", dan itu penjelasan gw."
ahmad khonif,1,2025-10-03 09:01:04,burik
Triyatin,5,2025-10-03 09:00:45,game nya sangat bagus
Daffa Aufar,5,2025-10-03 08:58:37,perbaiki bug ga bisa login secepatnya
Alzz Tobi,4,2025-10-03 08:56:07,"Masih ada beberapa masalah seperti masalah jaringan, juga untuk bug dalam matchmaking, aku sudah lama bermain game ini, tetapi saat ini belum terlalu puas dengan gamenya, tetapi overall bagus, semua nya udah bagus, saran aja tambahin senjata baru biar ga ngebosenin, kayak senjata assault rifle STG-44 dan senjata F2000."
Bocah Lampung,1,2025-10-03 08:54:58,saya nge push ff gk naik naik walaupun udh kil lima gak nik
Marchello Iglesias,4,2025-10-03 08:51:46,seru gk ngebosenin berasa perang beneran
dewi herwandi,5,2025-10-03 08:51:08,aku mau spin kalo ga dapet item nya aku jadiin bintang 1
M Gilang Lang,1,2025-10-03 08:49:47,Kami Sebagai pelupayer FF Ingin bang Budi 01 satu geming main lgi di Gem FF dan Kembalikan Akun FF bang Budi secepat ya kalau tk kami sebagai Follows ya akan PNSI dari FF
Zaky Alfatih,5,2025-10-03 08:48:12,karena ff selalu di hati
Kevin Dra,1,2025-10-03 08:47:39,"anj ff burik bikin hp gw patah patah, gak seperti dulu gak patah patah"
Kenzi Toro,5,2025-10-03 08:46:14,baik bagus.
Putueka Suarjaya,5,2025-10-03 08:42:29,bagus
Rafa Rafa,5,2025-10-03 08:40:25,Terimakasih sudah menciptakan geme ini
Madan-Cebonk73,5,2025-10-03 08:32:35,Mantapsss!!!
Wayan Arya,4,2025-10-03 08:31:29,gamenya bagus dan menarik tapi sekarang setiap main br/cs ranked sinyalnya merah terus padahal wifi/data nya banyak dan sinyal WiFi nya bagus
Rizal Ramadhan,1,2025-10-03 08:30:07,game jelek ngebug
fadli saputralaksana,4,2025-10-03 08:23:45,game nyah bagus dan grfik juga bagus tapi ada satu kekurangan dari game ff ini banyak citernyah Tolong kepada Garena free firee tolong di benin para citer nyah meresahkan bangt
Apa Lool,5,2025-10-03 08:21:57,game yg seru
ARIF WIJAYA,5,2025-10-03 08:15:30,mantap
neng ulfah,5,2025-10-03 08:14:31,seru bngt tapi suka lag aja
Fatir pahlevi,1,2025-10-03 08:11:10,burik sering lek
Konsumen,2,2025-10-03 08:04:24,game nya kurang baguss sinyal padahal bagus tiba² gak ada angin dan hujan tim ot tolong perbaiki Garena
Siahaan Rasdi,5,2025-10-03 08:04:15,maknyos
Ardiyah Garin,5,2025-10-03 07:57:40,sangat seru
Algo Fiqi,5,2025-10-03 07:53:52,minta akunnya dong
riaa rhyy,1,2025-10-03 07:50:14,"malas ahh, kok panutan gue ""budi"" ga bisaa main?"
Raya Arko Pratama,5,2025-10-03 07:50:10,game nya seru bisa mabar
BASORI Ilham,4,2025-10-03 07:49:00,game ini bagus tapi.aku ingin training old kembali
Boy Sumatra,5,2025-10-03 07:45:30,FFik
